tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37223-ZIH-5852,ZIH,Chaves Indicadoras de Posição Alta (limite),Chave limitadora de controle (limite ascendente da calha),5.10 - Sistema de Manuseio de Cinza Volante,,2,     Quando o controle da chave limitadora 37223-ZIH-5852 é desativado:,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5217-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Motor do ventilador do filtro do silo de cinza,5.10 - Sistema de Manuseio de Cinza Volante,,1,o Motor do ventilador do filtro de silo 37223-M-5217-M01 é iniciado.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5239-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Motor da válvula rotativa do filtro de cinza,5.10 - Sistema de Manuseio de Cinza Volante,,1,Descarga a seco                                                                                      o Válvula rotativa do filtro de cinza 37223-M-5239-M01 é iniciada.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-HV-5610,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de limpeza de pulso do filtro 1,5.10 - Sistema de Manuseio de Cinza Volante,,1,37223-HV-5610 e 37223-HV-5612 (os tempos de abertura e fechamento das,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-HV-5612,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de limpeza de pulso do filtro 2,5.10 - Sistema de Manuseio de Cinza Volante,,2,37223-HV-5610 e 37223-HV-5612 (os tempos de abertura e fechamento das,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-LSH-5855,LSH,Chaves de Nível Alto,Sinal de carga cheia de descarga a seco,5.10 - Sistema de Manuseio de Cinza Volante,,1,chave de controle de parada rápida Interrompe todos os equipamentos                          Se o sinal de carga cheia de descarga a seco 37223-LSH-5855 for ativado durante o,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5217,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador do filtro do silo de cinza,5.10 - Sistema de Manuseio de Cinza Volante,,2,o Motor do ventilador do filtro de silo 37223-M-5217-M01 é iniciado.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37221-FWH-5631,FWH,Linhas de Amostragem - Água de Alimentação,Linha de amostragem da água de alimentação,5.13 - Sistema de Amostragem,,1,"37221-FWH-5631   186/113        160/140          Sílica,",5.13 - Sistema de Amostragem.txt,Manual completo
37221-FWH-5711,FWH,Linhas de Amostragem - Água de Alimentação,Linha de amostragem da água da caldeira,5.13 - Sistema de Amostragem,,1,"Água da caldeira    37221-FWH-5711   125/110        328/319          pH, Sílica,",5.13 - Sistema de Amostragem.txt,Manual completo
37221-SSH-5678,SSH,Linhas de Amostragem - Vapor Saturado,Linha de amostragem do vapor saturado,5.13 - Sistema de Amostragem,,1,"Vapor saturado      37221-SSH-5678   125/110        328/319          Sílica, pH,",5.13 - Sistema de Amostragem.txt,Manual completo
37221-SCH-6504,SCH,Linhas de Amostragem - Água Doce (Condensador),Linha de amostragem da água doce do condensador Dolezal,5.13 - Sistema de Amostragem,,1,"Água doce do        37221-SCH-6504   125/112        328/290          Sílica, pH,",5.13 - Sistema de Amostragem.txt,Manual completo
37221-SHS-5659,SHS,Linhas de Amostragem - Vapor Superaquecido,Linha de amostragem do vapor superaquecido,5.13 - Sistema de Amostragem,,1,"Vapor               37221-SHS-5659   110/104        513/504          Sílica,",5.13 - Sistema de Amostragem.txt,Manual completo
37221-M-5090,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Resfriador de amostras do condensado do Dolezal,,,0,,,Somente lista oficial (sem contexto)
37221-M-5093,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Resfriador de amostras da água de alimentação,,,0,,,Somente lista oficial (sem contexto)
37221-M-5092,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Resfriador de amostras da água de caldeira,,,0,,,Somente lista oficial (sem contexto)
37221-M-5088,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Resfriador de amostras do vapor saturado,,,0,,,Somente lista oficial (sem contexto)
37221-M-5089,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Resfriador de amostras do vapor principal,,,0,,,Somente lista oficial (sem contexto)
35220-M-1002,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Tanque de Fosfato (Sistema de Dosagem Química),5.12 - Sistema de Dosagem Química,,1,35220-M-1002 Tanque de Fosfato,5.12 - Sistema de Dosagem Química.txt,Manual completo
